Pair,CAGR,Annualized Mean,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Win Rate,p-value
TFC-USB,0.06326949712788488,0.06735281588093175,0.10972978696581617,0.6138061299792188,0.9692800998112182,-0.1513074259541618,0.1816272965879265,0.01345455763085807
BAC-PNC,0.08079224449293276,0.09098611694153098,0.16326420771574962,0.5572937155946754,0.8818181704905901,-0.19810657265698473,0.15223097112860892,0.003503921733596728
