Date,BAC,BK,C,GS,JPM,MS,PNC,TFC,USB,WFC
2018-01-02,25.044065475463867,43.367767333984375,57.213619232177734,216.48086547851562,87.15199279785156,41.31487274169922,110.62303924560547,35.88839340209961,40.22727966308594,49.149497985839844
2018-01-03,24.96030616760254,43.63368606567383,57.390586853027344,214.46572875976562,87.24083709716797,41.425697326660156,110.60009765625,36.2765998840332,40.62187957763672,49.52763366699219
2018-01-04,25.28696632385254,44.06880569458008,58.09844970703125,217.46307373046875,88.49060821533203,42.058990478515625,110.60778045654297,36.71514892578125,40.9345817565918,50.147132873535156
2018-01-05,25.404232025146484,44.18162536621094,58.02151107788086,216.35389709472656,87.92251586914062,42.04315185546875,110.74541473388672,36.830169677734375,41.18772888183594,50.485050201416016
2018-01-08,25.22834014892578,44.36695098876953,57.344425201416016,213.21258544921875,88.05236053466797,41.8690071105957,110.95195770263672,37.02426528930664,41.24729537963867,49.913818359375
2018-01-09,25.35396957397461,44.76984786987305,57.94457244873047,215.01609802246094,88.49872589111328,42.193565368652344,113.07081604003906,37.44844436645508,41.53022003173828,50.09081268310547
2018-01-10,25.5884952545166,46.171932220458984,58.2061767578125,215.3462677001953,89.4725570678711,42.692291259765625,114.4476547241211,37.89415740966797,41.842918395996094,50.7827262878418
2018-01-11,25.680633544921875,46.59900665283203,58.136932373046875,216.023681640625,89.95137786865234,42.90604019165039,115.87806701660156,38.21768569946289,42.20030212402344,50.694217681884766
2018-01-12,26.124561309814453,47.07441329956055,59.121761322021484,217.6324462890625,91.43649291992188,43.634315490722656,116.14575958251953,38.20330810546875,42.42366409301758,50.32413864135742
2018-01-16,26.166440963745117,46.36531066894531,59.32950210571289,218.84326171875,91.11187744140625,43.222679138183594,117.04521942138672,38.1601676940918,42.56513214111328,50.28391647338867
2018-01-17,26.116186141967773,46.6473503112793,59.60649108886719,214.7704620361328,91.69619750976562,43.81639099121094,118.55957794189453,38.303951263427734,41.94715881347656,51.3941764831543
2018-01-18,26.36746597290039,44.60063171386719,59.54494094848633,212.5012969970703,91.91529846191406,44.20429229736328,118.15982055664062,38.92222213745117,41.805694580078125,51.450504302978516
2018-01-19,26.568485260009766,45.61593246459961,60.24510955810547,216.86187744140625,91.71243286132812,45.48672103881836,119.34369659423828,39.3967170715332,42.0364990234375,51.66771697998047
2018-01-22,26.752756118774414,46.510372161865234,60.468238830566406,221.4342041015625,92.78366088867188,45.407562255859375,119.7049560546875,39.4542236328125,42.632118225097656,52.07803726196289
2018-01-23,26.736003875732422,46.510372161865234,60.437469482421875,220.223388671875,92.68627166748047,45.05133819580078,119.743408203125,39.44702911376953,42.57256317138672,51.884952545166016
2018-01-24,26.878395080566406,46.5506591796875,61.12993240356445,224.95652770996094,93.8711166381836,45.312564849853516,121.25778198242188,39.54050827026367,42.9969482421875,52.68144607543945
2018-01-25,26.878395080566406,45.80931091308594,61.12223815917969,227.79302978515625,93.8954849243164,44.97217559814453,121.30388641357422,39.317630767822266,43.168209075927734,52.8182258605957
2018-01-26,26.970529556274414,46.5587158203125,61.614681243896484,227.03948974609375,94.39864349365234,45.59754943847656,121.96500396728516,39.86400604248047,43.26498031616211,53.043495178222656
2018-01-29,27.037532806396484,46.54252243041992,61.52235412597656,230.7142333984375,94.30123138427734,45.47880935668945,122.38775634765625,39.82087707519531,43.17564392089844,52.95499038696289
2018-01-30,26.702499389648438,45.8790283203125,60.4913330078125,227.71690368652344,93.41667938232422,45.00175476074219,121.3807601928711,39.562068939208984,42.73636245727539,52.520538330078125
2018-01-31,26.803010940551758,45.8790283203125,60.38361740112305,226.82785034179688,93.8711166381836,44.96200942993164,121.4730224609375,39.67708969116211,42.542789459228516,52.92280960083008
2018-02-01,27.221813201904297,46.526344299316406,60.93757629394531,230.50257873535156,94.84498596191406,45.67757797241211,122.3416519165039,40.04374313354492,42.78104019165039,53.01993179321289
2018-02-02,26.761133193969727,45.57963562011719,59.50065994262695,220.1810760498047,92.74308013916016,44.11126708984375,121.43456268310547,39.619571685791016,42.364105224609375,51.85447692871094
2018-02-05,25.345598220825195,44.001773834228516,56.60365295410156,210.92637634277344,88.29582977294922,41.78166961669922,115.55388641357422,38.02356719970703,40.66655731201172,47.071258544921875
2018-02-06,26.132938385009766,44.89995193481445,57.80108642578125,219.0464630126953,90.98204803466797,43.19691467285156,118.6056900024414,38.61308670043945,40.66655731201172,46.35906219482422
2018-02-07,26.174814224243164,44.77857208251953,57.932411193847656,217.6916961669922,91.59880065917969,43.371829986572266,119.1514892578125,38.69217300415039,40.800559997558594,46.569488525390625
2018-02-08,24.91004753112793,43.119815826416016,55.522117614746094,208.58949279785156,87.54920959472656,41.17740249633789,114.83124542236328,36.9416618347168,39.19981384277344,44.83749771118164
2018-02-09,25.404232025146484,43.759037017822266,56.92040252685547,211.0872344970703,89.30213928222656,41.4556884765625,116.6224136352539,37.918174743652344,40.01880645751953,45.428314208984375
2018-02-12,26.065929412841797,44.18789291381836,57.75474548339844,214.35562133789062,90.68177795410156,42.4813346862793,117.06058502197266,38.33772659301758,40.18260192871094,45.72777557373047
2018-02-13,26.116186141967773,44.3497200012207,58.079200744628906,216.36233520507812,91.2417221069336,42.44953155517578,117.83694458007812,38.57643127441406,40.309173583984375,46.9417724609375
2018-02-14,26.803010940551758,45.29643630981445,59.26116943359375,222.33169555664062,93.3517074584961,43.76937484741211,121.66517639160156,39.59636688232422,41.180274963378906,48.19625473022461
